FuncionarioId,Mes,ReclamacoesResp,ReclamacoesSolu,DesempenhoGeral
675df01b-75f3-4209-b3ed-cab6af7a9b69,2023-10,18,11,8.07
c3dbbf01-f0f8-433e-ae24-e0479f9d01a8,2023-05,13,9,8.66
8842fb06-4b12-424e-94bb-4e9d63dd459f,2023-12,16,13,9.43
9c240882-db82-4166-8a44-36c4023d5b84,2023-01,16,12,8.14
a660413f-78cc-4247-b5a1-b0b87c00b117,2023-10,17,4,9.96
193ccffc-4817-49fc-86d5-e20baa3d8bcc,2023-08,8,2,5.69
487f1a34-0b36-4de2-8734-619160d96562,2023-08,14,4,6.04
ed211d4c-b5af-4f21-9e4e-cc2b6b50edb7,2023-08,11,9,5.1
138c1a90-e9e8-4e64-b1cf-817a8df38d3f,2023-09,16,8,6.8
b57c6187-eea1-4bcf-ab7b-34038ff8b221,2023-09,9,5,9.63
c5dcda6b-7b55-4adc-a5fd-28cfc017a98d,2023-03,18,18,8.96
a70885d2-8308-4a2b-9989-940f7a978853,2023-10,8,0,9.03
0ef78b8f-55d4-44dd-a096-c19f8a1397fe,2023-11,6,2,5.66
a7e627c7-a7b8-447a-837a-8e3f13f8655e,2023-06,18,6,5.15
2025096d-94e4-4b5d-b8b3-d646203548a8,2023-08,8,8,7.86
5018fd42-7e89-41d0-bb79-2342d1661b7d,2023-04,9,9,5.54
9955c6dd-9387-4bcc-befd-68c7e08213fb,2023-07,13,0,8.68
b5c1b6ac-b3b2-40fd-80a1-cc8372ece098,2023-05,7,3,6.3
6a48388d-3e50-4269-819b-4817f0c56193,2023-09,5,3,7.48
10b892a7-aa6c-4b40-8f93-a90ca5ec4100,2023-03,16,6,8.47
5d52bb7c-abc7-4336-b936-e1aa0b33a1ec,2023-08,6,4,5.33
1b1e7388-2841-46c3-8c8b-0141e6d0eb94,2023-11,16,1,5.89
1a06f7f4-fdcf-46df-adac-036634c352bf,2023-05,18,3,7.2
fa62b7dc-8bde-4f54-b2ef-7d1698d7e06b,2023-07,15,2,9.8
7e80f55c-a98d-4226-96b5-38c9603550b9,2023-01,10,0,7.63
c3b063e0-3ca9-44ff-ae8d-c2ef9ec7c120,2023-11,19,8,8.77
643788d1-0d07-4657-83d8-69689a6763b8,2023-10,5,4,8.27
5405cb1a-8c01-422e-bdf7-a7a4721b2408,2023-06,18,16,9.49
db6673e7-fdce-4afd-9dab-0f592f003acc,2023-10,11,11,8.48
b07e89f5-bd0e-4112-95c0-5d836761ec1a,2023-04,14,12,7.41
b07e89f5-bd0e-4112-95c0-5d836761ec1a,2023-02,17,11,5.11
5827f97e-7dbc-41a8-aed4-e2d4d6da3d1f,2023-11,20,2,9.66
5e0034de-acb4-43fe-93d4-77f95fc8d459,2023-11,10,10,8.9
35274347-1ebf-4ee5-a6e0-9ecfc1dfb936,2023-05,16,10,8.96
616ad29b-321b-475f-89cc-4d626dd21a7c,2023-04,20,11,9.9
fd8f58cd-7146-47f5-be43-a6e7b9e1c0ff,2023-06,13,7,5.32
c3b063e0-3ca9-44ff-ae8d-c2ef9ec7c120,2023-08,20,16,6.68
2e161a49-5a95-4c3b-b805-4b59d6bd61f6,2023-05,6,5,7.4
838da3f3-fa5b-46e4-b49e-6050ad7fc6d4,2023-11,14,9,8.83
041a7827-9020-4309-b2a9-445e203d0df4,2023-11,10,8,5.02
2ddfe9f1-10f1-4efe-a155-fccee20f85e2,2023-08,6,6,6.58
4931a966-4a08-4cec-8c67-028843132897,2023-12,14,8,7.66
9940aa18-64bb-410c-8081-625a483a0b38,2023-07,8,0,7.39
5c2f3495-52f1-4a51-b2bc-670d5e94851d,2023-04,8,7,9.57
ad72876b-857d-47b0-bc0f-36939fba2e8f,2023-06,14,13,7.67
7a7efd25-5a6f-4709-b8c5-aaea95dc1ade,2023-09,19,17,8.63
b98ccfe6-e60b-4fe3-9e86-65c9a4d86c74,2023-12,18,2,5.37
dbfa3598-f146-487b-9489-da50c0fcdeb4,2023-09,5,0,5.69
b42fd453-a6e4-4edd-bd91-581cc9504861,2023-01,14,0,5.33
02369f87-61ca-464f-92f8-027812909ebf,2023-10,14,11,8.81
b438c47c-b9a8-4b93-9920-81c7be566889,2023-07,14,8,5.22
9819e220-e04d-4eca-8108-3356e180fa0c,2023-12,17,5,6.39
2c5018d9-e077-43fe-a3aa-8a762ea1f8d9,2023-04,11,5,8.09
58943519-5b4d-4e73-b234-28844d7ad223,2023-03,20,9,9.77
34062415-1ddb-416a-a139-57b2f8a982ec,2023-11,14,2,6.77
e44b39de-d059-4a8b-aaca-febddcc8d06e,2023-09,17,10,5.37
12443d4c-3829-4796-8fde-65c50ac27a2d,2023-10,10,5,9.55
d37842d1-a839-4647-9371-fff42076f102,2023-01,14,13,5.06
4e7b479d-423a-4be4-bccb-f3c9debaec35,2023-02,13,2,8.66
b22b1c49-5934-459d-be7d-632c1b0ca299,2023-12,7,4,9.32
0d25b052-2c18-487e-be28-0d3201777c75,2023-08,15,2,6.56
8cc8d3cf-8ded-400d-a41e-4ae9e982c506,2023-12,19,14,5.99
5e059a6a-b756-415d-9897-dd0264790e01,2023-04,14,13,8.49
48134abc-affc-4ebf-b1b4-7b27ff0f8cc9,2023-05,18,4,5.02
3f997e5b-c88f-4c8b-8c84-807e12e9dcb5,2023-05,14,4,6.7
1b8d1e3d-a27d-4e3f-a2b0-180d9d2a7f6e,2023-04,17,8,9.7
c13be924-019d-4939-b06a-5275e6e5265e,2023-10,17,14,5.17
b8ebcbdb-c70e-436d-86a3-c47371ae1f12,2023-09,18,7,5.57
abfc9347-7d3d-456e-b11d-e66ad4801d76,2023-08,12,10,8.18
3bd7e285-12c5-4a43-bcbb-27bb461ae8ea,2023-07,18,2,7.8
353ff3a2-8b2b-4751-9c2a-5f9d4624f245,2023-08,9,2,8.68
7ffabed6-d500-4d89-91f7-0233a3633fca,2023-03,12,6,7.5
6438f0eb-b0fa-4831-9bca-01c217ed7fe9,2023-04,12,12,8.28
ccbf816e-996b-489d-a387-99df531376d7,2023-10,16,5,9.85
c5cc19b3-dfca-44cb-961a-3d5e5e29267b,2023-04,8,0,5.25
f5c2199c-dd4b-4618-89b8-2faf704cf74e,2023-09,17,12,7.44
4f1b7f06-5f32-4cfb-8254-3d8cc3237874,2023-09,12,10,5.24
9111dcc7-0482-4d34-8dd5-5ed0422ab120,2023-11,13,0,7.22
c6b49d92-b3a9-43d0-94cc-4cfebf739d61,2023-01,17,5,6.85
5fb2258b-2ddf-4160-839e-c6dddf2604d3,2023-04,12,2,7.87
ce484de4-6475-4cfc-bcf8-d77a34af5666,2023-11,5,0,8.56
4020479b-ef66-425a-a66d-e98ce855b0f4,2023-03,10,1,9.53
f24e8d77-05b3-40fb-b8cc-f08c232e1fa7,2023-11,8,5,8.51
793612be-e4b8-44f0-b0dc-3c6ff83c00cc,2023-06,7,2,8.77
47246d7f-328f-4c8a-9c18-b5c101822cb8,2023-03,14,2,7.04
fd8f58cd-7146-47f5-be43-a6e7b9e1c0ff,2023-12,6,6,5.14
2614a113-c1f2-4404-b353-a0a59689075f,2023-07,11,1,6.76
dd5104da-3d7e-4435-aead-c9cf25dcb2a8,2023-11,6,4,6.14
fc5749b2-63a9-49e9-abfb-3273848fd65d,2023-01,13,3,5.41
2fb26c0e-9b27-4bc0-b6cd-7e6cc08d8986,2023-11,16,6,5.49
b98ccfe6-e60b-4fe3-9e86-65c9a4d86c74,2023-07,18,13,9.04
7e31f6e5-fdff-45ad-91aa-c02f605e396b,2023-11,10,7,7.37
a53367bb-68ff-4e55-83aa-02dd67df3348,2023-07,13,10,9.66
f65ff4a6-c2fe-477c-aae5-a2fef561b08c,2023-08,10,10,9.84
4931a966-4a08-4cec-8c67-028843132897,2023-09,16,7,6.09
dbe7923a-7e2e-41e5-85d0-e870c1b6dcc4,2023-01,18,15,5.57
419a4e6b-8ad1-4760-803c-28cfe636a367,2023-07,17,1,9.67
10327130-e3db-4171-9a4e-f948896d4aec,2023-02,10,6,5.68
c35631e1-43a8-4256-8f91-5d55e76617d9,2023-07,18,8,7.65
fac7cb0e-57aa-4536-b215-ff62c81788ea,2023-05,18,3,5.03
08acf51b-0c54-43e0-90a7-9cc26563118e,2023-05,13,5,6.79
a8ce4737-1689-4915-87ff-db4909725975,2023-01,14,5,8.45
09fe3352-0a72-4f02-9373-7170c7b2f8c8,2023-05,5,5,5.48
20eb76a8-3fc8-4f3c-9b07-e0d56719f675,2023-09,12,1,6.45
83626c30-44c5-48ec-93e4-b60f30dd4cb0,2023-11,17,12,8.16
c765f936-499b-4291-b4e4-2c6402d85296,2023-07,18,5,8.41
d20bdc1c-e71e-4916-84e9-7374fc50dba1,2023-02,18,11,8.46
c7a6863c-2765-4eac-87cb-3ce69b3b4386,2023-02,16,9,9.53
e596a8b3-6b91-4633-aea4-dffd23a4a76b,2023-07,13,6,8.81
08732ec9-69f1-4b7d-a6a5-dd5a617f62c7,2023-02,19,7,7.11
4d527042-8cf6-487d-8dce-38c7a175de62,2023-07,15,7,8.17
bb797d6c-7f39-4bd8-bd8a-314808b0782e,2023-11,7,5,7.11
06617222-679c-4f28-98da-51ced5dca2d2,2023-06,5,1,9.88
f7a96a2c-f94d-488e-901d-b976bbede5ad,2023-01,14,2,9.31
2e243229-255b-4c6c-94d7-0c55972bf5b5,2023-01,16,15,9.33
111ee4f4-65fd-40e5-aa0a-2f9781910116,2023-03,9,4,6.51
5df93300-efd6-4161-9106-78a7c6bb44f4,2023-04,18,0,9.52
5bd79b24-d649-4ca9-8f15-12e0db9b8145,2023-08,13,7,9.33
d20bdc1c-e71e-4916-84e9-7374fc50dba1,2023-05,19,8,8.3
000e0e6f-fef7-4601-a435-af0938a044b9,2023-05,11,6,7.62
e44dadee-8ec3-41a4-b446-82257ffe47c3,2023-11,17,10,9.55
65c94f40-0475-4d86-868d-86e83f55342c,2023-02,17,0,6.51
dbfa3598-f146-487b-9489-da50c0fcdeb4,2023-11,8,5,5.59
bbc6e2ed-b782-4ddb-a54b-5dd6eeda352c,2023-05,10,3,5.82
d2cebb18-6f6c-4fc6-a04f-641e0c7a35f2,2023-02,16,1,8.18
5c755b64-3f1a-4def-9ae2-c10438f71ee3,2023-02,20,6,8.24
0a5738a1-13f9-4da6-990d-7159568a56a7,2023-08,9,0,5.67
65a915f8-809e-4573-990a-bbd387ca09fa,2023-11,9,9,7.02
7ef8dd01-86e0-4c21-a3bb-313b6b0c7748,2023-07,18,14,5.15
4e7b479d-423a-4be4-bccb-f3c9debaec35,2023-08,16,12,6.7
6b392216-d658-47de-991b-062c1ea55db8,2023-05,13,8,7.07
e596a8b3-6b91-4633-aea4-dffd23a4a76b,2023-01,8,7,9.04
675df01b-75f3-4209-b3ed-cab6af7a9b69,2023-04,17,13,5.56
404e9494-639f-4be4-8c24-bcef484358af,2023-05,13,10,7.0
d02f5a02-fc86-4e2b-a86c-be63bfacc538,2023-01,14,14,6.52
f010b268-bd4e-4027-93cd-113899195bf3,2023-07,18,4,5.97
ab291f90-912f-4bdf-b7c7-84345bc26c77,2023-11,14,1,9.45
2ecd88d8-5ac0-4cdb-a508-814e7befcf94,2023-01,18,8,8.63
cea7128f-d6d8-4478-8280-3aaee172267b,2023-12,6,2,7.38
9a8edfd8-740b-4cc3-a7a1-d17a110878e4,2023-05,16,7,7.84
7ef8dd01-86e0-4c21-a3bb-313b6b0c7748,2023-10,11,9,8.79
778fe290-5461-4b75-afb0-7cb43a5422bf,2023-04,16,9,7.18
0d25b052-2c18-487e-be28-0d3201777c75,2023-05,14,6,9.99
ea0593ac-226a-419a-a026-5340a2141e07,2023-02,12,6,8.01
4d162bb9-78e5-4ef4-a0e4-57a39d06d1b1,2023-12,14,1,8.43
876eae85-f946-4728-801c-2671b9453319,2023-07,18,17,9.03
03659d7c-3421-4117-91cd-fb9177ae4159,2023-09,10,5,6.9
a16419bf-ab68-4e1f-ab5c-a585677f37a5,2023-09,19,13,6.33
5c2f3495-52f1-4a51-b2bc-670d5e94851d,2023-09,8,2,9.13
ce5d13e3-1904-4601-850d-addee45bf4c4,2023-07,13,3,8.58
f473a1c6-bb00-4dec-84fc-a68883c0d688,2023-10,10,2,8.34
ac90902d-bb57-4f9a-80f0-841d715e71a4,2023-12,7,4,8.81
87ca96cd-db76-441d-b39a-0f4b6e41f57c,2023-06,10,3,9.37
5d52bb7c-abc7-4336-b936-e1aa0b33a1ec,2023-04,6,5,7.12
6db798ca-8a28-4024-9dd7-6b4a2b776c15,2023-06,15,6,7.27
e1600cbc-0026-45af-91cc-dc0f836b7d22,2023-07,9,5,9.83
ef55afd5-3e72-4ca5-a6ff-1f818958f923,2023-05,13,0,6.35
b68d5e25-3aa1-4de1-8a99-95b590225a4f,2023-02,19,1,5.4
5a0a2826-91e7-4858-88e8-48262d1e645c,2023-10,11,10,8.65
825916cb-752f-424f-8db4-113b9140b289,2023-12,15,6,8.71
cc37d442-8916-489e-9301-1e9559e9f63e,2023-09,8,4,5.62
40869800-33e3-471f-a634-49b0de17b0e5,2023-04,7,1,9.97
c2bb4915-8742-4e3d-b708-0865835bd99d,2023-11,15,12,8.42
e5d357aa-6f4c-4736-abcd-67fac8080e64,2023-01,8,6,6.29
8d48a2a0-b98d-4262-b931-c1fb5d4687c1,2023-06,7,1,7.97
b020b9b6-6371-41a6-b4ff-8e71e4646b90,2023-10,17,6,5.39
